son	Sohn	son	zoon	fils	hijo	filho	figlio	сын	syn	γιος	yios	fia	poika	儿子	아들	息子	con trai	仔	zai2	后生	hau7-sinn1	ابن	ibn	बेटा	beta	mac	mack	mab	хүү	oğul	ئوغۇل	oghul	ลูกชาย	lûuk chāi 	mwana (wa kiume)	anak laki-laki	biyeʼ	bee-yeh
daughter	Tochter	dotter	dochter	fille	hija	filha	figlia	дочь	córka	κόρη	kóri	lánya	tytär	女儿	딸	娘	con gái	女	neoi5	查某囡仔	tsa1-boo2-gin2-a2	ابنة	ibna	बेटी	betee	iníon	in-een	merch	охин	kız evlat	قىز	qiz	ลูกสาว	lûuk sǎo 	mwana (wa kike)	anak perempuan	bitsiʼ	bee-tsih
mother	Mutter	mor / mamma	moeder	mère	madre	mãe	madre	мать	matka	μητέρα	mitéra	anya	äiti	母亲	어머니	母	mẹ	妈	maa1	老母	lau7-bu2	أم	umm	माँ	maan	máthair	maw-hir	mam	ээж	anne	ئانا	ana	แม่	mâe 	mama	ibu	shimá	shi-mah
father	Vater	far / pappa	vader	père	padre	pai	padre	отец	ojciec	πατέρας	patéras	apa	isä	父亲	아버지	父	cha	爸	baa1	老爸	lau7-pe7	أب	ab	पिता	pita	athair	a-hir	tad	аав	baba	ئاتا	ata	พ่อ	phâo 	baba	ayah	shizhéʼé	shi-zhay-eh
man	Mann	man	man	homme	hombre	homem	uomo	мужчина	mężczyzna	άνδρας	ándras	férfi	mies	男人	남자	男	đàn ông	男人	naam4 jan2	查埔人	tsa1-poo1-lang5	رجل	rajul	आदमी	aadmee	fear	far	dyn	эр хүн	adam	ئەر	er	ผู้ชาย	phûu chāi 	mwanamume	laki-laki	hastiin	hahs-teen
woman	Frau	kvinna	vrouw	femme	mujer	mulher	donna	женщина	kobieta	γυναίκα	gynaíka	nő	nainen	女人	여자	女	phụ nữ	女人	neoi5 jan2	查某人	tsa1-boo2-lang5	امرأة	imra'a	औरत	aurat	bean	ban	menyw	эмэгтэй хүн	kadın	ئايال	ayal	ผู้หญิง	phûu yǐng 	mwanamke	perempuan	asdzání	as-dzah-nee
elder brother	älterer Bruder	storebror / lillebror	broer	frère aîné	hermano mayor	irmão mais velho	fratello maggiore	старший брат	starszy brat	μεγαλύτερος αδελφός	megalýteros adelfós	báty	isoveli	哥哥	형/오빠	兄	anh	哥哥	go1 go1	兄	hiann1	أخ أكبر	akh akbar	बड़ा भाई	bada bhai	deartháir níos sine	jar-haw-ir nees shin-eh	brawd hŷn	ах	ağabey	ئاكا	aka	พี่ชาย	phîi chāi 	kaka	kakak laki-laki	shínaaí	shee-nah-ee
younger brother	jüngerer Bruder	lillebror	broertje	frère cadet	hermano menor	irmão mais novo	fratello minore	младший брат	młodszy brat	μικρότερος αδελφός	mikróteros adelfós	öccs	pikkuveli	弟弟	남동생	弟	em trai	细佬	sai3 lou2	细弟	se3-ti7	أخ أصغر	akh asghar	छोटा भाई	chhota bhai	deartháir níos óige	jar-haw-ir nees o-igeh	brawd iau	дүү (эрэгтэй)	erkek kardeş	ئۇكا	uka	น้องชาย	nóng chāi 	mdogo (wa kiume)	adik laki-laki	sitsilí	si-tsi-lee
elder sister	ältere Schwester	storasyster / lillasyster	zus	sœur aînée	hermana mayor	irmã mais velha	sorella maggiore	старшая сестра	starsza siostra	μεγαλύτερη αδελφή	megalýteri adelfí	nővér	isosisko	姐姐	누나/언니	姉	chị	姐姐	ze2 ze2	姊	tsi2	أخت كبرى	ukht kubra	बड़ी बहन	badee bahan	deirfiúr níos sine	jer-fyoor nees shin-eh	chwaer hŷn	эгч	abla	ئاچا	acha	พี่สาว	phîi sǎo 	dada	kakak perempuan	shádí	shah-dee
younger sister	jüngere Schwester	lillasyster	zusje	sœur cadette	hermana menor	irmã mais nova	sorella minore	младшая сестра	młodsza siostra	μικρότερη αδελφή	mikróteri adelfí	húg	pikkusisko	妹妹	여동생	妹	em gái	细妹	sai3 mui6	细妹	se3-be7	أخت صغرى	ukht sughra	छोटी बहन	chhotee bahan	deirfiúr níos óige	jer-fyoor nees o-igeh	chwaer iau	дүү (эмэгтэй)	kız kardeş	سىڭىل	singil	น้องสาว	nóng sǎo 	mdogo (wa kike)	adik perempuan	sideezhí	si-dee-zhee
family	Familie	familj	familie	famille	familia	família	famiglia	семья	rodzina	οικογένεια	oikogéneia	család	perhe	家庭	가족	家族	gia đình	屋企	nuk1 kei2	家内	ka1-lai7	عائلة	'a'ila	परिवार	parivaar	teaghlach	tyow-lakh	teulu	гэр бүл	aile	ئائىلە	a'ile	ครอบครัว	khrôp khrua 	familia	keluarga	hooghan hazʼą́	hoo-ghan haz-ahn
grandfather	Großvater	farfar / morfar	opa	grand-père	abuelo	avô	nonno	дедушка	dziadek	παππούς	pappoús	nagyapa	isoisä	祖父/爷爷	할아버지	祖父	ông	阿爷	aa3 je4	阿公	a1-kong1	جد	jadd	दादा	dada	seanathair	shan-a-hir	taid / tad-cu	өвөө	dede	بوۋا	bowa	ปู่/ตา	pùu / tā 	babu	kakek	sheecheii	shee-chay-ee
grandmother	Großmutter	farmor / mormor	oma	grand-mère	abuela	avó	nonna	бабушка	babcia	γιαγιά	giagiá	nagymama	isoäiti	祖母/奶奶	할머니	祖母	bà	阿嫲	aa3 maa4	阿嬷	a1-ma2	جدة	jadda	दादी	dadee	seanmháthair	shan-waw-hir	nain / mam-gu	эмээ	büyükanne	موما	moma	ย่า/ยาย	yâa / yāai 	bibi	nenek	shamá sání	shah-mah sah-nee
husband	Ehemann	make	echtgenoot	mari	esposo	marido	marito	муж	mąż	σύζυγος	sýzygos	férj	aviomies	丈夫	남편	夫	chồng	老公	lou5 gung1	翁	ang1	زوج	zawj	पति	pati	fear céile	far kyay-leh	gŵr	нөхөр	koca	ئەر	er	สามี	sāa-mīi 	mume	suami	sheʼasdzáá	sheh-as-dzah
wife	Ehefrau	fru	echtgenote	femme	esposa	esposa	moglie	жена	żona	σύζυγος	sýzygos	feleség	vaimo	妻子	아내	妻	vợ	老婆	lou5 po4	某	boo2	زوجة	zawja	पत्नी	patnee	bean chéile	ban hyay-leh	gwraig	эхнэр	eş / karı	ئايال	ayal	ภรรยา	phān-rá-yāa 	mke	istri	sheʼasdzą́ą́	sheh-as-dzahn
neighbor	Nachbar	granne	buurman / buurvrouw	voisin	vecino	vizinho	vicino	сосед	sąsiad	γείτονας	geítonas	szomszéd	naapuri	邻居	이웃	隣人	hàng xóm	邻居	leon4 geoi1	厝边	tshu3-pinn1	جار	jar	पड़ोसी	padoshee	comharsa	kor-suh	cymydog	хөрш	komşu	قوشنا	qoshna	เพื่อนบ้าน	phûean bâan 	jirani	tetangga	bił kééhatʼíinii	bilth kay-hah-tee-nee
boy	Junge	pojke	jongen	garçon	niño	menino	ragazzo	мальчик	chłopiec	αγόρι	agóri	fiú	poika	男孩	소년	男の子	cậu bé	男仔	naam4 zai2	查埔囡仔	tsa1-poo1-gin2-a2	ولد	walad	लड़का	ladka	buachaill	boo-khill	bachgen	хүү	oğlan	ئوغۇل بالا	oghul bala	เด็กชาย	dèk chāi 	mvulana	anak laki-laki	ashkii	ash-kee
girl	Mädchen	flicka	meisje	fille	niña	menina	ragazza	девочка	dziewczyna	κορίτσι	korítsi	lány	tyttö	女孩	소녀	女の子	cô bé	女仔	neoi5 zai2	查某囡仔	tsa1-boo2-gin2-a2	بنت	bint	लड़की	ladkee	cailín	ka-leen	merch	охин	kız	قىز بالا	qiz bala	เด็กหญิง	dèk yǐng 	msichana	anak perempuan	atʼééd	ah-teed
child	Kind	barn	kind	enfant	niño/hijo	criança	bambino	ребёнок	dziecko	παιδί	paidí	gyerek	lapsi	儿童	아이	子供	trẻ em	细路	sai3 lou6	囡仔	gin2-a2	طفل	tifl	बच्चा	bachcha	leanbh	lan-uv	plentyn	хүүхэд	çocuk	بالا	bala	เด็ก	dèk 	mtoto	anak	awééʼ	ah-way
adult	Erwachsene	vuxen	volwassene	adulte	adulto	adulto	adulto	взрослый	dorosły	ενήλικας	enílikas	felnőtt	aikuinen	成人	성인	大人	người lớn	大人	daai6 jan4	大人	tai7-lang5	بالغ	baligh	वयस्क	vayask	duine fásta	din-eh faws-tah	oedolyn	насанд хүрэгч	yetişkin	چوڭ ئادەم	chong adem	ผู้ใหญ่	phûu yài 	mtu mzima	dewasa	hastóí	hahs-toy
human	Mensch	människa	mens	humain	humano	humano	umano	человек	człowiek	άνθρωπος	ánthropos	ember	ihminen	人类	인간	人間	con người	人	jan4	人	lang5	إنسان	insan	इंसान	insaan	duine	din-eh	bod dynol	хүн	insan	ئىنسان	insan	มนุษย์	má-nút 	binadamu	manusia	diné	di-nay
friend	Freund	vän	vriend	ami	amigo	amigo	amico	друг	przyjaciel	φίλος	fílos	barát	ystävä	朋友	친구	友達	bạn	朋友	pang4 jau5	朋友	pîng-iú	صديق	sadiq	दोस्त	dost	cara	kara	ffrind	найз	arkadaş	دوست	dost	เพื่อน	phûean 	rafiki	teman	shikʼis	shi-kis
head	Kopf	huvud	hoofd	tête	cabeza	cabeça	testa	голова	głowa	κεφάλι	kefáli	fej	pää	头	머리	头	đầu	头	tau4	头	thau5	رأس	ra's	सिर	sir	ceann	kyown	pen	толгой	baş / kafa	باش	bash	หัว	hǔa 	kichwa	kepala	sitsitsʼiin	si-tsi-tseen
neck	Hals	hals	nek	cou	cuello	pescoço	collo	шея	szyja	λαιμός	laimós	nyak	kaula	脖子	목	首	cổ	颈	geng2	颔颈	am7-kun2	رقبة	raqaba	गर्दन	gardan	muineál	mwin-awl	gwddf	хүзүү	boyun	بويۇن	boyun	คอ	khō 	shingo	leher	sikʼos	si-kos
face	Gesicht	ansikte	gezicht	visage	cara	rosto	viso	лицо	twarz	πρόσωπο	prósopo	arc	kasvot	脸	얼굴	顔	mặt	脸	lim5	面	bin7	وجه	wajh	चेहरा	chehara	aghaidh	eye	wyneb	нүүр	yüz	يۈز	yüz	หน้า	nâa 	uso	wajah	siiʼ	see
beard	Bart	skägg	baard	barbe	barba	barba	barba	борода	broda	γένια	génia	szakáll	parta	胡须	수염	髭	râu	须	sou1	喙须	tshu3-tshiau1	لحية	lihya	दाढ़ी	daadhee	féasóg	fay-sog	barf	сахал	sakal	ساقال	saqal	เครา	khrāo 	ndevu	janggut	dágá	dah-gah
hair	Haar	hår	haar	cheveux	pelo	cabelo	capelli	волосы	włosy	μαλλιά	malliá	haj	hiukset	头发	머리카락	髪	tóc	头发	tau4 faat3	头发	thau5-mng5	شعر	sha'r	बाल	baal	gruaig	groo-ig	gwallt	үс	saç	چاچ	chach	ผม	phǒm 	nywele	rambut	sitsiiʼ	si-tsee
eye	Auge	öga	oog	œil	ojo	olho	occhio	глаз	oko	μάτι	máti	szem	silmä	眼睛	눈	目	mắt	眼	ngaan5	目睭	bak8-tsiu1	عين	'ayn	आँख	aankh	súil	soo-il	llygad	нүд	göz	كۆز	köz	ตา	tā 	jicho	mata	shinááʼ	shi-nah
mouth	Mund	mun	mond	bouche	boca	boca	bocca	рот	usta	στόμα	stóma	száj	suu	嘴	입	口	miệng	嘴	zeoi2	嘴	tshu3	فم	fam	मुँह	munh	béal	byay-ul	ceg	ам	ağız	ئېغىز	éghiz	ปาก	pàak 	kinywa	mulut	shizééʼ	shi-zay
lip	Lippe	läpp	lip	lèvre	labio	lábio	labbro	губа	warga	χείλος	cheílos	ajak	huuli	嘴唇	입술	唇	môi	嘴唇	zeoi2 seon4	嘴唇	tshu3-tun5	شفة	shafa	होंठ	honth	liopa	lippa	gwefus	уруул	dudak	كالپۇك	kalpuk	ริมฝีปาก	rīm fǐi pàak 	mdomo	bibir	shidaaʼ	shi-dah
nose	Nase	näsa	neus	nez	nariz	nariz	naso	нос	nos	μύτη	mýti	orr	nenä	鼻子	코	鼻	mũi	鼻	bei6	鼻	phinn7	أنف	anf	नाक	naak	srón	sron	trwyn	хамар	burun	بۇرۇن	burun	จมูก	chà-mùuk 	pua	hidung	chį́į́sh	cheen-sh
tooth	Zahn	tand	tand	dent	diente	dente	dente	зуб	ząb	δόντι	dónti	fog	hammas	牙齿	치아	歯	răng	牙	ngaa4	牙	tshia5	سن	sinn	दाँत	daant	fiacail	feeka-il	dant	шүд	diş	چىش	chish	ฟัน	fān 	jino	gigi	shiwooʼ	shi-woo
ear	Ohr	öra	oor	oreille	oreja	orelha	orecchio	ухо	ucho	αυτί	aftí	fül	korva	耳朵	귀	耳	tai	耳朵	ji5 do2	耳	hinn7	أذن	udhun	कान	kaan	cluas	klooss	clust	чих	kulak	قۇلاق	qulaq	หู	hǔu 	sikio	telinga	shijaaʼ	shi-jah
tear	Träne	tår	traan	larme	lágrima	lágrima	lacrima	слеза	łza	δάκρυ	dákry	könny	kyynel	眼泪	눈물	涙	nước mắt	眼泪	ngaan5 leoi6	目屎	bak8-sai2	دمعة	dam'a	आँसू	aansoo	deoir	jyo-ir	deigryn	нулимс	gözyaşı	ياش	yash	น้ำตา	náam tā 	chozi	air mata	shinátooʼ	shi-nah-toh
tongue	Zunge	tunga	tong	langue	lengua	língua	lingua	язык	język	γλώσσα	glóssa	nyelv	kieli	舌头	혀	舌	lưỡi	舌	shit6	舌	tsiat8	لسان	lisan	जीभ	jeebh	teanga	tyang-guh	tafod	хэл	dil	تىل	til	ลิ้น	lín 	ulimi	lidah	tsooʼ	tsoo
